Original,Deutsch,English
Top Quality Reproduction,Top Qualit&auml;t,Top Quality
Good Quality,Gute Qualit&auml;t,  Good Quality  
  Good quality  12 month parts warranty  ,Gute Qualit&auml;t mit 12 Monaten Garantie,  Good quality  12 month parts warranty  
  Genuine VW  ,Original Ersatzteil,  Genuine VW  
  Top quality  ,Top Qualit&auml;t,  Top quality  
  Genuine VW Brazil  ,Original Ersatzteil,  Genuine VW Brazil  
  Rebuilt unit  ,General&uuml;berholtes Ersatzteil,  Rebuilt unit  
"  Good Quality  Comes with 2 year warranty (1st year Parts & Labour, 2nd Year Parts only)  ",Gute Qualit&auml;t mit 24 Monaten Garantie (Arbeit & Teile 12 Monate),"  Good Quality  Comes with 2 year warranty (1st year Parts & Labour, 2nd Year Parts only)  "
  Good quality reproduction  ,Gute Qualit&auml;t,  Good quality
"  Top quality, German   ",Top Qualit&auml;t Hergestellt in Deutschland,"  Top quality, German   "
  Genuine New VW  ,Original Ersatzteil,  Genuine New VW  
  Genuine VW or Good Quality Repro  ,Original Ersatzteil,  Genuine VW or Good Quality Repro  
  O.E. quality  ,Erstausr&uuml;ster Qualit&auml;t,  O.E. quality  
  Mahle  ,Erstausr&uuml;ster Qualit&auml;t,O.E. quality
  Best quality reproduction  ,Bestm&ouml;gliche Reproduktion am Markt,  Best quality reproduction  
  Reproduction made in house  ,Bestm&ouml;gliche Reproduktion aus eigener Produktion,  Reproduction made in house  
  OEM Quality  ,Erstausr&uuml;ster Qualit&auml;t,  OEM Quality  
  Genuine VW Mexico  ,Original Ersatzteil,  Genuine VW Mexico  
  Top quality manufactured by Bosch  ,Erstausr&uuml;ster Qualit&auml;t,O.E. quality
  Good quality German reproduction  ,Erstausr&uuml;ster Qualit&auml;t Hergestellt in Deutschland,  Good quality German reproduction  
  Good quality repro,Gute Qualit&auml;t,  Good quality repro
  Good quality  12 months parts warranty  ,Gute Qualit&auml;t mit 12 Monaten Garantie,  Good quality  12 months parts warranty  
  Usually Genuine VW Brazil  ,Original Ersatzteil,  Usually Genuine VW Brazil  
"  Good quality, manufactured by Ernst  ",Erstausr&uuml;ster Qualit&auml;t,  Top quality  
"  Top quality, OE spec.  ",Erstausr&uuml;ster Qualit&auml;t,O.E. quality
"  Repro quality, the best currently avialble.  ",Bestm&ouml;gliche Reproduktion am Markt,"  Repro quality, the best currently avialble.  "
  Manufactured by Autocraft  ,Handgefertigte Topqualit&auml;t,  Manufactured by Autocraft  
  These doors are manufactured by VW Mexico  ,Original Ersatzteil,  These doors are manufactured by VW Mexico  
"  Reconditioned Unit, Price includes £100+vat Surcharge, refundable on return of original dynamo/regulator assy  ",General&uuml;berholtes Ersatzteil mit Altteilepfand,"  Reconditioned Unit, Price includes £100+vat Surcharge, refundable on return of original dynamo/regulator assy  "
"  Top quality, manufactured by Hella  ",Erstausr&uuml;ster Qualit&auml;t,"  Top quality, manufactured by Hella  "
  O.E supplier  ,Erstausr&uuml;ster Qualit&auml;t,  O.E supplier  
  German SWF  ,Erstausr&uuml;ster Qualit&auml;t Hergestellt in Deutschland,  Top quality  
  Genuine  ,Original Ersatzteil,  Genuine  
  This is a genuine VW Brasil Part  ,Original Ersatzteil,  This is a genuine VW Brasil Part  
  Best Quality Repro  ,Bestm&ouml;gliche Reproduktion am Markt,  Best Quality Repro  
  Manufactured by Sachs Boge  ,Erstausr&uuml;ster Qualit&auml;t,  Manufactured by Sachs Boge  
  Genuine German ATE/FTE  ,Erstausr&uuml;ster Qualit&auml;t Hergestellt in Deutschland,  Top quality  
  German quality  ,Erstausr&uuml;ster Qualit&auml;t Hergestellt in Deutschland,  German quality  
"  Top quality, manufactured by Flat 4  ",Top Qualit&auml;t Hergestellt von Flat 4,  Top quality  
  Top quality manufactured in the UK  ,Top Qualit&auml;t Hergestellt in Grossbritanien,  Top quality manufactured in the UK  
  Genuine VW where available  ,Original Ersatzteil,  Genuine VW where available  
  ATE German reproduction  ,Erstausr&uuml;ster Qualit&auml;t Hergestellt in Deutschland,  ATE German reproduction  
  Manufactured by Hella  ,Erstausr&uuml;ster Qualit&auml;t,  Top quality  
"  Top quality, Genuine Hella Mexico, Re-chromed in UK  ",Erstausr&uuml;ster Qualit&auml;t Erstausr&uuml;ster Qualit&auml;t,"  Top quality, Genuine Hella Mexico, Re-chromed in UK  "
  Reproduction part fitted with Ball joint  ,Zubeh&ouml;rqualit&auml;t,  Reproduction part fitted with Ball joint  
"  Best Quality, Made by Meyle Germany  ",Erstausr&uuml;ster Qualit&auml;t,"  Best Quality, Made by Meyle Germany  "
  OE Quality  ,Erstausr&uuml;ster Qualit&auml;t,  OE Quality  
"  Top quality, manufactured by Hella for VW Mexico.  ",Erstausr&uuml;ster Qualit&auml;t,"  Top quality, manufactured by Hella for VW Mexico.  "
  High Quality Repro  ,Top Qualit&auml;t,  High Quality Repro  
  Top quality reproduction from the UK.  ,Top Qualit&auml;t Hergestellt in Grossbritanien,  Top quality reproduction from the UK.  
  High quality brand name tyre.  ,Markenreifen,  High quality brand name tyre.  
  Original Equipment quality and german made.  ,Erstausr&uuml;ster Qualit&auml;t hergestellt in Deutschland,  Original Equipment quality and german made.  
"  Top quality, manufactured in Europe  ",Top Qualit&auml;t Hergestellt in Europa,"  Top quality, manufactured in Europe  "
  German  ,Hergestellt in Deutschland,  German  
  Excellent Quality  ,Erstausr&uuml;ster Qualit&auml;t,  Excellent Quality  
"  Repro Quality, May require some adjustment for fitting  ","Zubeh&ouml;rqualit&auml;t, Anpassungen n&ouml;tig ","  Repro Quality, May require some adjustment for fitting  "
"  Best Quality,Chrome plated in the UK and comes with one year warranty  ",Topchrom mit 1 Jahr Garantie,"  Best Quality,Chrome plated in the UK and comes with one year warranty  "
  UK Triple Chrome on Steel  ,Topchrom mit 1 Jahr Garantie,  UK Triple Chrome on Steel  
"  Repro, but better than most repro Mk1 wings  ",Gute Reproduktion,"  Repro, but better than most repro Mk1 wings  "
  Genuine VW South Africa  ,Original Ersatzteil,  Genuine VW South Africa  
  Genuine VW Germany  ,Original Ersatzteil,  Genuine VW Germany  
"  Original quality, VW Classic Part  ",VW Classic Ersatzteil,"  Original quality, VW Classic Part  "
  Genuine VAG  ,Original Ersatzteil,  Genuine VAG  
  Reconditioned OEM  ,General&uuml;berholtes OE Teil,  Reconditioned OEM  
  Genuine German ATE / FTE  ,Erstausr&uuml;ster Qualit&auml;t Hergestellt in Deutschland,  Genuine German ATE / FTE  
  Good Quality - Klassic Fab panel  ,Handgefertigte Topqualit&auml;t,  Good Quality - Klassic Fab panel  
  Repro quality (Red Heavy Duty)  ,Normale Qualit&auml;t,  Repro quality (Red Heavy Duty)  
  Good Quality - Autocraft panel  ,Handgefertigte Topqualit&auml;t,  Top quality  
  Top quality reproduction  ,Topqualit&auml;t,  Top quality reproduction  
  Good quality reproduction heavy gauge steel.  ,Erstausr&uuml;ster Qualit&auml;t,  Good quality reproduction heavy gauge steel.  
"  Top quality, manufactured by Klassic Fab.  ",Handgefertigte Topqualit&auml;t,  Top quality  
